OrderID;CompanyName;OrderDate;Country;Salesperson;CategoryName;Sale
10248;Vins et alcools Chevalier;29-06-2016;France;Buchanan;Dairy Products;168
10248;Toms Spezialitten;29-06-2016;France;Buchanan;Dairy Products;174
10248;Hanari Carnes;29-06-2016;France;Buchanan;Grains/Cereals;98
10249;Victuailles en stock;30-06-2016;Germany;Hellstern;Produce;167,4
10249;Suprmes dlices;30-06-2016;Germany;Hellstern;Produce;1696
10250;Hanari Carnes;03-07-2016;Brazil;Peacock;Condiments;252
10250;Chop-suey Chinese;03-07-2016;Brazil;Peacock;Produce;1484
10250;Richter Supermarkt;03-07-2016;Brazil;Peacock;Seafood;77
10251;Wellington Importadora;03-07-2016;France;Leverling;Condiments;336
10251;HILARION-Abastos;03-07-2016;France;Leverling;Grains/Cereals;100,8
10251;Ernst Handel;03-07-2016;France;Leverling;Grains/Cereals;234
10252;Centro comercial Moctezuma;04-07-2016;Belgium;Peacock;Confections;2592
10252;Ottilies Kseladen;04-07-2016;Belgium;Peacock;Dairy Products;50
10252;Que Delcia;04-07-2016;Belgium;Peacock;Dairy Products;1088
10253;Rattlesnake Canyon Grocery;05-07-2016;Brazil;Leverling;Beverages;604,8
10253;Ernst Handel;05-07-2016;Brazil;Leverling;Confections;640
10253;Folk och f HB;05-07-2016;Brazil;Leverling;Dairy Products;200
10254;Blondesddsl pre et fils;06-07-2016;Switzerland;Buchanan;Beverages;54
10254;Wartian Herkku;06-07-2016;Switzerland;Buchanan;Meat/Poultry;403,2
10254;Frankenversand;06-07-2016;Switzerland;Buchanan;Produce;168
10255;GROSELLA-Restaurante;07-07-2016;Switzerland;Dodsworth;Beverages;304
10255;White Clover Markets;07-07-2016;Switzerland;Dodsworth;Confections;486,5
10255;Wartian Herkku;07-07-2016;Switzerland;Dodsworth;Dairy Products;1320
10255;Split Rail Beer & Ale;07-07-2016;Switzerland;Dodsworth;Seafood;380
10256;Rattlesnake Canyon Grocery;10-07-2016;Brazil;Leverling;Condiments;124,8
10256;QUICK-Stop;10-07-2016;Brazil;Leverling;Meat/Poultry;393
10257;Vins et alcools Chevalier;11-07-2016;Venezuela;Peacock;Beverages;86,4
10257;Magazzini Alimentari Riuniti;11-07-2016;Venezuela;Peacock;Condiments;156
10257;Tortuga Restaurante;11-07-2016;Venezuela;Peacock;Confections;877,5
10258;Morgenstern Gesundkost;12-07-2016;Austria;Davolio;Beverages;760
10258;Berglunds snabbkp;12-07-2016;Austria;Davolio;Condiments;1105
10258;Lehmanns Marktstand;12-07-2016;Austria;Davolio;Dairy Products;153,6
10259;Berglunds snabbkp;13-07-2016;Mexico;Peacock;Confections;80
10259;Romero y tomillo;13-07-2016;Mexico;Peacock;Seafood;20,8
10260;Romero y tomillo;14-07-2016;Germany;Peacock;Beverages;252
10260;LILA-Supermercado;14-07-2016;Germany;Peacock;Confections;591
10260;Lehmanns Marktstand;14-07-2016;Germany;Peacock;Grains/Cereals;780
10260;QUICK-Stop;14-07-2016;Germany;Peacock;Seafood;123,2
10261;QUICK-Stop;14-07-2016;Brazil;Peacock;Beverages;288
10261;Ricardo Adocicados;14-07-2016;Brazil;Peacock;Confections;160
10262;Reggiani Caseifici;17-07-2016;USA;Callahan;Condiments;204
10262;B's Beverages;17-07-2016;USA;Callahan;Grains/Cereals;60,8
10262;Comrcio Mineiro;17-07-2016;USA;Callahan;Produce;360
10263;Que Delcia;18-07-2016;Austria;Dodsworth;Beverages;100,8
10263;Tradio Hipermercados;18-07-2016;Austria;Dodsworth;Confections;834
10263;Tortuga Restaurante;18-07-2016;Austria;Dodsworth;Produce;288
10263;Rattlesnake Canyon Grocery;18-07-2016;Austria;Dodsworth;Seafood;1242
10264;Vins et alcools Chevalier;19-07-2016;Sweden;Hellstern;Beverages;532
10264;LILA-Supermercado;19-07-2016;Sweden;Hellstern;Seafood;192,5
10265;Blondesddsl pre et fils;20-07-2016;France;Fuller;Beverages;240
10265;Hungry Owl All-Night Grocers;20-07-2016;France;Fuller;Meat/Poultry;936
10266;Ricardo Adocicados;21-07-2016;Finland;Leverling;Dairy Products;364,8
10267;Magazzini Alimentari Riuniti;24-07-2016;Germany;Peacock;Beverages;216
10267;Die Wandernde Kuh;24-07-2016;Germany;Peacock;Dairy Products;3080
10267;Suprmes dlices;24-07-2016;Germany;Peacock;Seafood;735
10268;Godos Cocina Tpica;25-07-2016;Venezuela;Callahan;Dairy Products;111,2
10268;Tortuga Restaurante;25-07-2016;Venezuela;Callahan;Meat/Poultry;990
10269;Old World Delicatessen;26-07-2016;USA;Buchanan;Dairy Products;120
10269;Romero y tomillo;26-07-2016;USA;Buchanan;Dairy Products;556
10270;Lonesome Pine Restaurant;27-07-2016;Finland;Davolio;Beverages;920
